"","ticker","calendardate","revenue","cor","rnd","ebit","netinc","epsdil","ncfo","ncfi","capex","ncfdiv","intangibles","debt","de","pe","pb","fcfps","assets","netmargin","marketcap","dps","ln_returns"
"2241","MMM",20110331,1.55330848837454,1.05318797744334,3.03481349640272,2.26143960050088,1.98039548576236,-0.00723661304167719,0.637330175796355,-0.259188125541163,-0.524109312374954,-2.5232141441415,1.38213201453901,0.0348405728694321,0.000437322507820875,0.00670374025777526,0.0053103688687364,0.0129640524183697,0.205463972973994,0.00771381471967247,2.87106549519993,-0.0406890432766202,-0.143514232584759
"5970","MMM",20110630,1.64313028694303,1.13103619610218,3.08262081569625,2.3896561163978,2.13497386580585,-0.00723632924100834,1.40416972331623,0.00738605249314527,-0.713741149893471,-2.51630584795055,1.40505997540048,0.0345116471768238,0.000384319654576223,0.0045621833778545,0.00237914433641846,0.0368138417948501,0.217274124788609,0.00771439325454581,2.45074313576065,0.126444174707318,-0.0320037197868087
"9689","MMM",20110930,1.60686078020399,1.12678398247796,2.96310251746242,2.27707576097611,1.99409230424723,-0.00723653564149478,1.30911579611669,-0.265994274767571,-0.825112229071013,-2.49558095937767,1.37644312199444,0.0441889872909291,0.000446156316694984,0.00405668181982485,0.00206247465010156,0.0325224402167484,0.215563547726128,0.00771304333984135,2.33392805074969,0.126444174707318,0.095835132171248
"13461","MMM",20111231,1.49926935752846,1.06038403126895,2.88342365197321,1.92995299842591,1.73189606467979,-0.00723697424252846,1.71069193799339,-0.401739139894261,-1.2615664582803,-2.46794777461385,1.35420472386564,0.0269982918825096,0.000788466410566693,0.00509498390270511,0.00473792751270201,0.0414173453059047,0.210452302491529,0.00771130773522134,2.56764063796396,0.305732535817361,0.0196572077325177
"17228","MMM",20120331,1.59590690232979,1.08164509939006,3.1383960215387,2.35838379544733,2.06648977338152,-0.00723635504106915,0.738792232919458,0.0107891271063492,-0.60839012904985,-2.64756347557873,1.35282559840029,0.0271367869109762,0.000631666303051265,0.00520794514472291,0.00427104271877325,0.0158509952981836,0.214539250083924,0.00771420040958803,2.62067045637094,-0.0406890432766202,0.00768934529161907
"20947","MMM",20120630,1.60759103872894,1.07543032563158,3.11449236189194,2.50067285577196,2.14867068429072,-0.00723617444064351,1.33795238077273,-0.279606573220387,-0.900362958245028,-2.64756347557873,1.34524040834086,0.0467511453175616,0.000748714270633204,0.00524089217364477,0.00412082761116139,0.0333287035435433,0.228100950866708,0.00771516463437693,2.6321603206685,0.138599317833423,-0.00925674373163175
"24638","MMM",20120930,1.59858451692126,1.09669139375269,3.0268456098538,2.42249205339579,2.13693055416083,-0.00723620024070432,1.29095942799992,-0.456944572508458,-0.891332870744146,-2.63374688319682,1.37144379218254,0.0476340511240363,0.000576454997588086,0.0049057738223253,0.0029191067502665,0.0318462193620172,0.239777943987836,0.00771516463437693,2.60818686948557,0.138599317833423,0.141149360904335
"28415","MMM",20121231,1.57180837100653,1.11500862167242,3.19417122738115,2.06442397851293,1.80429353381408,-0.00723681944216363,1.71069193799339,-0.181673648240407,-1.28263666244902,-2.62683858700586,1.41402429092527,0.0414537104787133,0.000521243692124907,0.00673668728669712,0.00509113600897855,0.0418334812165085,0.233601429205344,0.00771111489026356,3.03125440447821,0.333081607851097,0.0312255998567414
"32194","MMM",20130331,1.63193298956051,1.10781256784681,3.28978586596821,2.37401995592256,2.07431652680144,-0.00723630344094754,0.916083827471407,-0.126090096224742,-0.779961791566604,-2.85481236130744,1.37558116857859,0.040328438372422,0.000424071794509712,0.00720359375370402,0.00514391429003136,0.0201423968762853,0.235168604597917,0.00771381471967247,3.13611885691902,-0.0406890432766202,0.110336796922041
"35904","MMM",20130630,1.66065649154176,1.12220467549803,3.26588220632145,2.46470968667892,2.20737133494014,-0.00723604544033949,1.64767866041168,-0.0996217381220451,-0.996683891587766,-2.82717917654362,1.36351382075677,0.0405015571580053,0.000483700004409945,0.00872762917726082,0.00708859095343897,0.0434199993756855,0.236203145216543,0.00771497178941915,3.49356673743951,0.153793246741054,0.0609375432384595
"39590","MMM",20130930,1.70057729090553,1.1663622785188,3.210107000479,2.52412709648481,2.27194205065451,-0.00723586483991385,1.08376322713801,0.0414167986251846,-0.846182433239737,-2.79263769558883,1.37558116857859,0.0375758496816479,0.000437322507820875,0.00925572298369403,0.00803860001238966,0.0257342231750239,0.230815339618549,0.00771516463437693,3.66910145863489,0.153793246741054,0.033520072485513
"43289","MMM",20131231,1.61611072151999,1.11010222133678,3.35352895835959,2.27707576097611,2.02344262957194,-0.00723627764088673,1.98303745974488,-0.0311821264564993,-1.34283724578823,-2.73737132606117,1.36627207168747,0.0415922055071799,0.000499159169939636,0.00913993771062578,0.00871659793052968,0.0526009979033819,0.230262218891758,0.00771342902975691,3.73890730063035,0.412090038170777,0.0788006698623825
"46981","MMM",20140331,1.6798866326987,1.1280923559008,3.46507937004449,2.4834730792492,2.22693821848995,-0.00723583903985305,1.02074994955629,-0.0814720068516241,-0.70772109155955,-3.72525768136804,1.35851449094487,0.0514253525283101,0.000507992978813744,0.0100229180857316,0.010145671386729,0.0260723336023895,0.230231489962492,0.00771497178941915,4.0106996826277,-0.0406890432766202,0.000567980135964873
"50669","MMM",20140630,1.75364274371836,1.17813763932434,3.43320782384881,2.70550655799753,2.34433951978881,-0.00723552943912339,1.60602581590851,-0.0833626038589597,-0.755881558230919,-3.65617471945847,1.36489294622212,0.0582808564374079,0.000583080354243668,0.00959272402238046,0.0100685338990364,0.0477634179426127,0.234564268989016,0.00771535747933471,3.97207111843217,0.217607748153103,0.0765587552000619
"54397","MMM",20140930,1.7543730022433,1.18500659979424,3.3216574121639,2.78837820851627,2.41478030056812,-0.00723534883869776,1.68185535333735,0.0274263807709018,-0.710731120726511,-3.61472494231273,1.31386530400411,0.0647035633825475,0.000795091767222275,0.010516182175876,0.0131783926133793,0.051794734576587,0.222334155141098,0.00771612885916582,4.2572537797697,0.217607748153103,0.0869072733900168
"58157","MMM",20141231,1.65262364776734,1.12678398247796,3.33759318526174,2.42718290153836,2.17215094455049,-0.00723576163967063,2.18596157399109,0.0202421121430268,-1.25253637077942,-3.57327516516698,1.27180197731089,0.0559264409534753,0.001585717661455,0.0117173367159986,0.0213265472343794,0.0643308288835266,0.20689798967308,0.00771477894446137,4.61939136107473,0.530602683650297,-0.0590925852071398
"61920","MMM",20150331,1.61830149709483,1.05940275120182,3.55272612208263,2.53038156067491,2.21128471165011,-0.00723568423948822,1.00793368970916,0.0270482613694347,-0.698691004058668,-4.31937115379035,1.24508142141971,0.0516677188281267,0.001179362453246,0.0105877242958206,0.0176483070317755,0.0269566224124226,0.200485886432882,0.00771574316925026,4.33741479580099,-0.0406890432766202,-0.0313053230045586
"65673","MMM",20150630,1.64459080399293,1.07150520536307,3.35352895835959,2.70081570985496,2.40891023550318,-0.00723524563845454,1.28348327642243,0.0898160820129739,-0.918423133246791,-4.27792137664461,1.2468053282514,0.085010396931466,0.0016100106358588,0.00961060955236661,0.018070533280198,0.0348371962194821,0.208116903867303,0.00771786446378584,4.12907827635751,0.269267106439048,0.0390760627438842
"69446","MMM",20150930,1.65091971120913,1.07771997912155,3.28181797941929,2.75866950361333,2.40108348208325,-0.00723516823827212,1.63165833560277,-1.02298931650471,-0.891332870744146,-4.20193011854408,1.87534175908535,0.132375696667051,0.00234321677240981,0.010080340050424,0.0210382966224756,0.0495840125515043,0.227271269776522,0.00771767161882806,4.23758199652742,0.269267106439048,-0.0450316123742527
"73256","MMM",20151231,1.55014403476644,1.06136531133608,3.31368952561498,2.17231348579204,1.89625788649818,-0.00723617444064351,2.35150493034983,-0.0508443353327887,-1.12912517493403,-4.15357204520738,1.85189662617437,0.124481480044453,0.00248676616661408,0.00947034934352784,0.0203197000266026,0.0753324220201146,0.221740062508619,0.0077126576499258,3.96600978794892,0.606572328188451,-999
