Symbol
MMM
AAC
ABT
ABBV
ABEO
ABEOW
ABMD
ACIU
ACHC
ACAD
ACST
XLRN
ARAY
ACRX
ACER
ACERW
ACET
AKAO
ACHV
ACHN
ACRS
ACOR
ATNM
ADMS
ADMP
ADAP
ADUS
ADMA
ADRO
AAAP
ADXS
ADXSW
ADVM
AGLE
AERI
AEZS
AET
GNMX
AFMD
AGEN
AGRX
AGIO
ALRN
AIMT
AKTX
AKCA
AKBA
AKER
AKRX
ALBO
ADHD
ALDR
ALDX
ALXN
ALGN
ALIM
ALKS
AGN
AHPI
ALQA
AFAM
ALNY
APT
ATEC
ALPN
ALT
AMAG
AMRN
AMDA
AMED
ARA
AMS
ABC
AMGN
FOLD
AMPH
AMPE
APHB
ANAB
AVXL
ANGO
ANIP
ANIK
ATRS
ANTM
ANTX
ANTH
AXN
APEN
AGTC
APRI
APVO
APTO
AQXP
ARDM
ARLZ
PETX
ABUS
ABIO
ARDX
ARNA
ARGX
ARGS
ARQL
ARRY
ARWR
ASND
ASMB
AST
AZN
ATRA
ATNX
ATHX
ATOS
ATRC
ATRI
LIFE
BOLD
AUPH
EARS
AVDL
ATXI
AVEO
AVXS
AVGR
AVIR
AXGN
AXON          
AXSM
AZRX
BAX
BDX
BDXA
BGNE
BLPH
BLCM
BNTC
BNTCW
BYSI
BASI
ORPN
BIOC
BCRX
BDSI
BIIB
BHVN
BIOL
BLFS
BLRX
BMRN
BMRA
BVXV
BVXVW
BPTH
BPMX
BIOP
BIOS
BSTC
BSPM
TECH
BEAT
BTX
BIVV
BLUE
BPMC
BSX
BVX
BCLI
BMY
BKD
BCR
CLBS
CALA
CBM
CGIX
CANF
CMD
CSU
CAPR
CARA
CAH
CRME
CSII
CDNA
CASM
CASC
CASI
CATB
CTLT
CBIO
CPRX
CATS
CELC
CELG
CELGZ
CLDX
CLRB
CLRBW
CLRBZ
CLLS
CBMG
CVM
CLSN
CYAD
CEMP
CNC
CERC
CERCW
CERS
CSBR
CRL
CHEK
CHEKW
CKPT
CEMI
CHE
CCXI
CHFS
CHMA
CMRX
CBPO
CPHI
CDTX
CI
CTXR
CTXRW
CIVI
CLSD
CMTA
CBLI
CLVS
CODX
CGNT
CHRS
COLL
CBMX
CBMXW
CYH
CYHHZ
CGEN
CNAT
CNCE
CCM
CXRX
CFMS
CNMD
CFRX
CTRV
COO
CRBP
CORT
CVRS
CORI
CRMD
CRVS
CRHM
CRSP
CRY
CTIC
CPIX
CRIS
CUTR
CVS
CYCC
CYCCP
CBAY
CYTK
CTMX
CYTX
CYTXW
CTSO
CYTR
DARE
DRIO
DRIOW
DVA
DXR
DBVT
DCPH
DMPI
XRAY
DEPO
DERM
DXCM
DXTR
DRNA
DFFN
DRAD
DMTX
DPLO
DVCR
DOVA
RDY
DRRX
DYNT
DVAX
EGRX
EDAP
EDGE
EDIT
EW
EGLT
EIGR
ELMD
EBIO
LLY
EBS
ENTA
ENDP
ECYT
ELGX
NDRA
NDRAW
ENTL
ETRM
EVHC
ENZ
EPZM
ESPR
EPIX
EVOK
EXAS
EXAC
EXEL
ESRX
EYEG
EYEGW
FATE
FENC
FCSC
FGEN
FPRX
FVE
FLKS
FLXN
FONR
FBIO
FWP
FMI
FMS
FLGT
GTHX
GLPG
GALT
GALE
GLMD
GEMP
GEN           
GENE
GNMK
GNCA
GHDX
GERN
GILD
GKOS
GSK
GBT
GPAC
GPACU
GPACW
GMED
GLYC
GRFS
GTXI
GWPH
HAE
HALO
HYH
HCA
HCSG
HLS
HTBX
HEB
HSIC
HLF
HRTX
HSKA
HRC
HSGX
HOLX
HZNP
HUM
HCM
IBIO
ICAD
ICLR
ICUI
IDRA
IDXX
RXDX
KANG
ICCC
IMDZ
IMNP          
IMUC
IMGN
IMMU
IMRN
IMRNW
IPXL
IMMY
INCR
INCY
INFI
INFU
INVA
INGN
ITEK
INO
INSM
NSPR
PODD
INSY
NTEC
NTLA
IPCI
ICPT
IDXG
XENT
ITCI
XON
ISRG
IVC
NVTA
NVIV
IVTY
IONS
IOVA
IRMD
IRTC
IRIX
IRWD
ISR
JAGX
JAZZ
JNJ
JNCE
JNP
JUNO
KTWO
KDMN
KALA
KALV
KMDA
KPTI
KMPH
KERX
KIN
KND
KTOV
KTOVW
KRYS
KURA
LJPC
LH
LAKE
LCI
LNTH
LPTX
LMAT
LXRX
LHCG
LLIT
LPNT
LFVN
LGND
LPCN
LIVN
EVAR
LOXO
LMNX
LUNA
MBVX
MGNX
MDGL
MGLN
MNK
MNKD
MRNS
MASI
MTNB
MZOR
MCK
MNOV
MDGS
MD
MDVX
MDVXW
MEDP
MDT
MEIP
MRK
VIVO
MMSI
MACK
MRSN
MRUS
MESO
MGCD
MBOT
MICR
MTP
MLSS
MDXG
NERV
MGEN
MRTX
MTEM
MBRX
MOH
MNTA
MTFB
MTFBW
MSA
MBIO
MYL
MYND
MYNDW
MYOK
MYO
MYOS
MYOV
MYGN
NBRV
NSTG
NNVC
NK
NTRA
NHC
NRCIA
NRCIB
NATR
BABY
NAVB
NKTR
NEOG
NEO
NEOS
NEOT
NVCN
NEPT
CUR
NBIX
NDRM
NURO
NUROW
NTRP
NVRO
NLNK
NITE
HLTH
NBY
NOVN
NVS
NVAX
NVLN
NVO
NVCR
NVGN
NVUS
NUS
NCNA
NUVA
NVTR
NXTM
NYMX
OASM
OBLN
OBSV
OCRX
OCUL
OHRP
OMER
ONS
ONSIW
ONSIZ
OCX
OMED
ONTX
ONTXW
ONCS
OPGN
OPGNW
OPHT
OPK
OGEN
ORMP
OSUR
OREX
ONVO
OFIX
OTIC
OVAS
OVID
OMI
OXFD
PCRX
PTIE
PTN
PRTK
PDCO
PAVM
PAVMW
PDLI
PEN
PPHM
PPHMP
PTX
PRGO
PETQ
PETS
PFNX
PFE
PMC
PZRX
PAHC
PHMD
PIRS
PSTI
PLXP
PTLA
PRAH
PRAN
LENS
PBH
PBMD
PDEX
PGNX
PRPH
PRQR
PTGX
PLX
PRTO
PTI
PRTA
PMD
PTCT
PULM
PLSE
PBYI
QGEN
DGX
QDEL
Q
QHC
QTNT
RARX
RDUS
RDNT
RETA
REPH
RDHL
REGN
RGNX
RGLS
RELV
RNVA
RNVAZ
RGEN
RPRX
RMD
RVP
RTRX
RVNC
RWLK
RNN
RYTM
RIGL
RAD
RTTR
RMTI
ROSG
RTIX
RXII
RXIIW
SAGE
SGMO
GCVRZ
SNY
SRPT
SVRA
SCLN
SCYX
SPNE
SGEN
EYES
EYESW
SEM
SELB
SNMX
SRTS
SRTSW
MCRB
SHPG
SNNA
SIEN
SRRA
SVA
SKLN
SNN
SLNO
SLNOW
SNGX
SNGXW
SNOA
SNOAW
SRNE
ONCE
SPPI
SBPH
STAA
STDY
SBOT
STML
STE
SSKN
SBBP
SYK
SCMP
SMMT
SNSS
SSY
SUPN
SGRY
SRDX
SNDX
SGYP
SYN
SYRS
TTOO
TCMD
TNDM
TPIV
TARO
TEAR
TDOC
TFX
TLGT
TENX
THC
TSRO
TTPH
TEVA
TGTX
ENSG
MDCO
TXMD
TRPX
TBPH
TIG
TTNP
TVTY
TOCA
TNXP
TCON
TRXC
TRVN
TRIL
TRIB
TROV
TRUP
TYME
USPH
RARE
QURE
UTHR
UNH
UHS
URGN
UTMD
VRX
VLRX
VNDA
VAR
VBLT
VBIV
VCYT
VSTM
VCEL
VRML
VRNA
VSAR
VRTX
VICL
VRAY
VKTX
VKTXW
VTGN
VTL
VIVE
VVUS
VNRX
VYGR
VTVT
WBA
WVE
WCG
WMGI
WMGIZ
XBIT
XNCR
XBIO
XENE
XOMA
XTNT
XTLB
ZFGN
ZLAB
ZEAL
ZBH
ZIOP
ZTS
ZGNX
ZSAN
ZYME
ZYNE
